Growth rate,lambdac
0.4037037037037037, 0.38017861285084664
0.47777777777777786, 0.37101600556715364
0.4296296296296296, 0.44289028067733693
0.462962962962963, 0.4805729529111573
0.49259259259259247, 0.505717930874507
0.5777777777777777, 0.612456506610995
0.7407407407407407, 0.48770586870795607
0.7370370370370372, 0.5941660867548132
0.8629629629629632, 0.7198213871491532
1.0259259259259261, 0.8048828578056135
1.1481481481481481, 0.8459754117374159
1.3481481481481483, 0.9186267687311529
1.3740740740740742, 1.0690211087914636
1.4333333333333336, 1.012839248434238
1.511111111111111, 1.1727905358385524
1.7259259259259263, 1.1953839016469496
