Condition,xaxis,relative ppgpp
R-LIM, 0.10030661410424857,0.12877792378449415
R-LIM, 0.22423502909705273,0.1787122207621551
R-LIM, 0.4008197234215629,0.34428383705650456
C-LIM, 0.2576184218759776,0.19973718791064388
C-LIM, 0.3338339277892495,0.21024967148488838
C-LIM, 0.27675364495338206,0.2365308804204993
C-LIM, 0.4150991802765782,0.34165571616294343
C-LIM, 0.477166635379513,0.40998685939553225
C-LIM, 0.4200800951129462,0.43363994743758205
C-LIM, 0.5440460546899442,0.49934296977660964
C-LIM, 0.7156623490394842,0.578186596583443
shift, 0.1909580126400101,0.202365308804205
shift, 0.21959201551842789,0.22864651773981604
shift, 0.29586383830799057,0.26281208935611033
shift, 0.3341217696014014,0.33114323258869904
shift, 0.467705400162693,0.4362680683311432
shift, 0.5537701019961203,0.583442838370565
shift, 0.8303547963206306,0.7490144546649145
shift, 1.0404855766222387,1.0039421813403415
shift, 1.1933295788749136,1.1984231274638633
shift, 1.4653838933733807,1.4612352168199734
shift, 1.8615293160628243,1.8423127463863336
